section,key,u,v,i,t,value
meta,U,,,,,6
meta,I,,,,,20
meta,G,,,,,2
meta,T,,,,,15
meta,enable_transfer,,,,,1
family,h_ig,0,,0,,1
family,h_ig,1,,1,,1
family,h_ig,0,,2,,1
family,h_ig,1,,3,,1
family,h_ig,0,,4,,1
family,h_ig,1,,5,,1
family,h_ig,0,,6,,1
family,h_ig,1,,7,,1
family,h_ig,0,,8,,1
family,h_ig,1,,9,,1
family,h_ig,0,,10,,1
family,h_ig,1,,11,,1
family,h_ig,0,,12,,1
family,h_ig,1,,13,,1
family,h_ig,0,,14,,1
family,h_ig,1,,15,,1
family,h_ig,0,,16,,1
family,h_ig,1,,17,,1
family,h_ig,0,,18,,1
family,h_ig,1,,19,,1
cost,cX,,,0,,1
cost,cX,,,1,,1
cost,cX,,,2,,1
cost,cX,,,3,,1
cost,cX,,,4,,1
cost,cX,,,5,,1
cost,cX,,,6,,1
cost,cX,,,7,,1
cost,cX,,,8,,1
cost,cX,,,9,,1
cost,cX,,,10,,1
cost,cX,,,11,,1
cost,cX,,,12,,1
cost,cX,,,13,,1
cost,cX,,,14,,1
cost,cX,,,15,,1
cost,cX,,,16,,1
cost,cX,,,17,,1
cost,cX,,,18,,1
cost,cX,,,19,,1
cost,cY,0,,,,1
cost,cY,1,,,,1
cost,cI,,,0,,1
cost,cI,,,1,,1
cost,cI,,,2,,1
cost,cI,,,3,,1
cost,cI,,,4,,1
cost,cI,,,5,,1
cost,cI,,,6,,1
cost,cI,,,7,,1
cost,cI,,,8,,1
cost,cI,,,9,,1
cost,cI,,,10,,1
cost,cI,,,11,,1
cost,cI,,,12,,1
cost,cI,,,13,,1
cost,cI,,,14,,1
cost,cI,,,15,,1
cost,cI,,,16,,1
cost,cI,,,17,,1
cost,cI,,,18,,1
cost,cI,,,19,,1
cap_usage,sX,,,0,,1
cap_usage,sX,,,1,,1
cap_usage,sX,,,2,,1
cap_usage,sX,,,3,,1
cap_usage,sX,,,4,,1
cap_usage,sX,,,5,,1
cap_usage,sX,,,6,,1
cap_usage,sX,,,7,,1
cap_usage,sX,,,8,,1
cap_usage,sX,,,9,,1
cap_usage,sX,,,10,,1
cap_usage,sX,,,11,,1
cap_usage,sX,,,12,,1
cap_usage,sX,,,13,,1
cap_usage,sX,,,14,,1
cap_usage,sX,,,15,,1
cap_usage,sX,,,16,,1
cap_usage,sX,,,17,,1
cap_usage,sX,,,18,,1
cap_usage,sX,,,19,,1
cap_usage,sY,0,,,,10
cap_usage,sY,1,,,,10
capacity,C,0,,,0,1440
capacity,C,0,,,1,1440
capacity,C,0,,,2,1440
capacity,C,0,,,3,1440
capacity,C,0,,,4,1440
capacity,C,0,,,5,1440
capacity,C,0,,,6,1440
capacity,C,0,,,7,1440
capacity,C,0,,,8,1440
capacity,C,0,,,9,1440
capacity,C,0,,,10,1440
capacity,C,0,,,11,1440
capacity,C,0,,,12,1440
capacity,C,0,,,13,1440
capacity,C,0,,,14,1440
capacity,C,1,,,0,1440
capacity,C,1,,,1,1440
capacity,C,1,,,2,1440
capacity,C,1,,,3,1440
capacity,C,1,,,4,1440
capacity,C,1,,,5,1440
capacity,C,1,,,6,1440
capacity,C,1,,,7,1440
capacity,C,1,,,8,1440
capacity,C,1,,,9,1440
capacity,C,1,,,10,1440
capacity,C,1,,,11,1440
capacity,C,1,,,12,1440
capacity,C,1,,,13,1440
capacity,C,1,,,14,1440
capacity,C,2,,,0,1440
capacity,C,2,,,1,1440
capacity,C,2,,,2,1440
capacity,C,2,,,3,1440
capacity,C,2,,,4,1440
capacity,C,2,,,5,1440
capacity,C,2,,,6,1440
capacity,C,2,,,7,1440
capacity,C,2,,,8,1440
capacity,C,2,,,9,1440
capacity,C,2,,,10,1440
capacity,C,2,,,11,1440
capacity,C,2,,,12,1440
capacity,C,2,,,13,1440
capacity,C,2,,,14,1440
capacity,C,3,,,0,1440
capacity,C,3,,,1,1440
capacity,C,3,,,2,1440
capacity,C,3,,,3,1440
capacity,C,3,,,4,1440
capacity,C,3,,,5,1440
capacity,C,3,,,6,1440
capacity,C,3,,,7,1440
capacity,C,3,,,8,1440
capacity,C,3,,,9,1440
capacity,C,3,,,10,1440
capacity,C,3,,,11,1440
capacity,C,3,,,12,1440
capacity,C,3,,,13,1440
capacity,C,3,,,14,1440
capacity,C,4,,,0,1440
capacity,C,4,,,1,1440
capacity,C,4,,,2,1440
capacity,C,4,,,3,1440
capacity,C,4,,,4,1440
capacity,C,4,,,5,1440
capacity,C,4,,,6,1440
capacity,C,4,,,7,1440
capacity,C,4,,,8,1440
capacity,C,4,,,9,1440
capacity,C,4,,,10,1440
capacity,C,4,,,11,1440
capacity,C,4,,,12,1440
capacity,C,4,,,13,1440
capacity,C,4,,,14,1440
capacity,C,5,,,0,1440
capacity,C,5,,,1,1440
capacity,C,5,,,2,1440
capacity,C,5,,,3,1440
capacity,C,5,,,4,1440
capacity,C,5,,,5,1440
capacity,C,5,,,6,1440
capacity,C,5,,,7,1440
capacity,C,5,,,8,1440
capacity,C,5,,,9,1440
capacity,C,5,,,10,1440
capacity,C,5,,,11,1440
capacity,C,5,,,12,1440
capacity,C,5,,,13,1440
capacity,C,5,,,14,1440
init,I0,0,,0,,0
init,I0,0,,1,,0
init,I0,0,,2,,0
init,I0,0,,3,,0
init,I0,0,,4,,0
init,I0,0,,5,,0
init,I0,0,,6,,0
init,I0,0,,7,,0
init,I0,0,,8,,0
init,I0,0,,9,,0
init,I0,0,,10,,0
init,I0,0,,11,,0
init,I0,0,,12,,0
init,I0,0,,13,,0
init,I0,0,,14,,0
init,I0,0,,15,,0
init,I0,0,,16,,0
init,I0,0,,17,,0
init,I0,0,,18,,0
init,I0,0,,19,,0
init,I0,1,,0,,0
init,I0,1,,1,,0
init,I0,1,,2,,0
init,I0,1,,3,,0
init,I0,1,,4,,0
init,I0,1,,5,,0
init,I0,1,,6,,0
init,I0,1,,7,,0
init,I0,1,,8,,0
init,I0,1,,9,,0
init,I0,1,,10,,0
init,I0,1,,11,,0
init,I0,1,,12,,0
init,I0,1,,13,,0
init,I0,1,,14,,0
init,I0,1,,15,,0
init,I0,1,,16,,0
init,I0,1,,17,,0
init,I0,1,,18,,0
init,I0,1,,19,,0
init,I0,2,,0,,0
init,I0,2,,1,,0
init,I0,2,,2,,0
init,I0,2,,3,,0
init,I0,2,,4,,0
init,I0,2,,5,,0
init,I0,2,,6,,0
init,I0,2,,7,,0
init,I0,2,,8,,0
init,I0,2,,9,,0
init,I0,2,,10,,0
init,I0,2,,11,,0
init,I0,2,,12,,0
init,I0,2,,13,,0
init,I0,2,,14,,0
init,I0,2,,15,,0
init,I0,2,,16,,0
init,I0,2,,17,,0
init,I0,2,,18,,0
init,I0,2,,19,,0
init,I0,3,,0,,0
init,I0,3,,1,,0
init,I0,3,,2,,0
init,I0,3,,3,,0
init,I0,3,,4,,0
init,I0,3,,5,,0
init,I0,3,,6,,0
init,I0,3,,7,,0
init,I0,3,,8,,0
init,I0,3,,9,,0
init,I0,3,,10,,0
init,I0,3,,11,,0
init,I0,3,,12,,0
init,I0,3,,13,,0
init,I0,3,,14,,0
init,I0,3,,15,,0
init,I0,3,,16,,0
init,I0,3,,17,,0
init,I0,3,,18,,0
init,I0,3,,19,,0
